Now,Fri Jan 13 2023 12:38:13 GMT+0100 (Central European Standard Time)
Post URL,https://www.tiktok.com/@mummy_and_matilda/video/7165459811574844677
Publisher Nickname,Izzy & Matilda
Publisher @,mummy_and_matilda
Publisher URL,https://www.tiktok.com/@mummy_and_matilda
Publish Time,13-11-2022
Post Likes,1.3M
Post Shares,N/A
Description,"Credit to @Mais🌸 💗 #candycrush10 #mumsoftiktok #immeanbecauseigrewupinnewengland #toddlersoftiktok #babiesoftiktok #prochoice #prochoiceisprowomen #prochoiceisprolife #prolifevsprochoice"
Number of 1st level comments,2424
Number of 2nd level comments,124
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",2548
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),3081
Difference,533
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"Kristinagrace","kgrace668",https://www.tiktok.com/@kgrace668,"Yaaaaas 🥰",22-11-2022,74,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/339fd822751a8b22064f3c907d7434f8~c5_100x100.jpg?x-expires=1673694000&x-signature=AWY89oLIsiIXSM4AZagoX935exU%3D",No,---,0
2,"✰𓆩♡𓆪!!","cocooooo110",https://www.tiktok.com/@cocooooo110,"REAAAAL",14-11-2022,617,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b02f1f611f5b36c7bd97a8045ddc4a5d~c5_100x100.jpg?x-expires=1673694000&x-signature=%2FwJ%2FZECymQYXj%2FmLWLt4bFkt4r8%3D",No,---,0
3,"veraakotrunov","veraakotrunov",https://www.tiktok.com/@veraakotrunov,"DILO REINAAAAA",20-12-2022,115,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ed3cdb8931e6dd50993e9b81031b9cbc~c5_100x100.jpg?x-expires=1673694000&x-signature=ehNV1eyd8U0t4%2Fv5JjSp6LOpXVE%3D",No,---,0
4,"🍕arabe","izarbec",https://www.tiktok.com/@izarbec,"@denisaweasley sabemos qn diría lo primero",1-1-2023,0,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a7a309df44c113d0e71cd44025deabda~c5_100x100.jpg?x-expires=1673694000&x-signature=OtfXVLcAkpq0oHFA6LoD16AGHGM%3D",No,---,1
5,"denisuxx","denisaweasley",https://www.tiktok.com/@denisaweasley,"✝️dios ante todo",1-1-2023,0,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f044209a94b6b05624da52a7e38dbf51~c5_100x100.jpg?x-expires=1673694000&x-signature=gF%2BYpoXkeCU64mh1pR64sKAnwu8%3D",Yes,"🍕arabe",0
6,"…","user017373874746",https://www.tiktok.com/@user017373874746,"they think pro choice means always aborting and that you’re pro life as soon as you decide to keep one 🙄",19-11-2022,6114,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",No,---,11
7,"Lea","leaa.ariane",https://www.tiktok.com/@leaa.ariane,"No it doesn’t. Pro choice means, that the mother can choose between keeping and not keeping the embryo. Pro life means, that you are against not keepi",30-12-2022,37,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8c50745bddbabc4c5091f2f26dd7db7d~c5_100x100.jpg?x-expires=1673694000&x-signature=aqMtZ71DU75QGRjyXmAduECe8s8%3D",Yes,"…",0
8,"Lea","leaa.ariane",https://www.tiktok.com/@leaa.ariane,"I did sorry sorry sorry you’re right",31-12-2022,5,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8c50745bddbabc4c5091f2f26dd7db7d~c5_100x100.jpg?x-expires=1673694000&x-signature=aqMtZ71DU75QGRjyXmAduECe8s8%3D",Yes,"…",0
9,"…","user017373874746",https://www.tiktok.com/@user017373874746,"🥰🥰",31-12-2022,0,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",Yes,"…",0
10,"Matilda Strood","stroodleboi",https://www.tiktok.com/@stroodleboi,"I've seen a worrying amount of people say they're pro life for themselves and pro choice for others.. like that means you're pro choice",3d ago ,2,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1660518785700869~c5_100x100.jpg?x-expires=1673694000&x-signature=MK7YuSZrUTlEt9WYAqSN0iHpTiw%3D",Yes,"…",0
11,"…","user017373874746",https://www.tiktok.com/@user017373874746,"YES OMG i’ve seen that too like how does that make sense???",2d ago ,1,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",Yes,"…",0
12,"not_original_username","not_original_username",https://www.tiktok.com/@not_original_username,"Their basic critical thinking skills are non existence",24-11-2022,58,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/6963976643580788741~c5_100x100.jpg?x-expires=1673694000&x-signature=CbPBoYhzgZNDrAgMN0%2BQ7%2BXi7HQ%3D",Yes,"…",0
13,"EnchantedEntity8","enchanted_entity",https://www.tiktok.com/@enchanted_entity,"#ParmidaMehdipour #ArmitaAbbasi #NiloufarShakeri #womenlifefreedom #stopexecutionsiniran #freeiran",30-12-2022,1,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4b60938375c4579fb991c73eb5072dd5~c5_100x100.jpg?x-expires=1673694000&x-signature=RxUASg1rowd9x0Qc3Pa5YImDWOE%3D",Yes,"…",0
14,"lilz♡","3.i4l5926535897932384626",https://www.tiktok.com/@3.i4l5926535897932384626,"bro.. pro CHOICE means you decide lmao",3d ago ,0,"https://p77-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/e8d7e16348ed5c5b8b1761ba49e8920f.jpg?x-expires=1673694000&x-signature=wcdM5aajGjpsUiS5W2OfkuIGiGQ%3D",Yes,"…",0
15,"…","user017373874746",https://www.tiktok.com/@user017373874746,"I think you misunderstood my comment 💅",31-12-2022,4,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",Yes,"…",0
16,"…","user017373874746",https://www.tiktok.com/@user017373874746,"and still they get to vote🤦🏼‍♀️",24-11-2022,13,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",Yes,"…",0
17,"…","user017373874746",https://www.tiktok.com/@user017373874746,"i think you misunderstood my comment that’s what i’m saying too 🥲",2d ago ,0,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb081cb121df6b062e58a19382cefc5e~c5_100x100.jpg?x-expires=1673694000&x-signature=Wa6mkdCNZDecsTx9NUFEzsTUgoE%3D",Yes,"…",0
18,"Macy","macy_likethe_store",https://www.tiktok.com/@macy_likethe_store,"YES! i didn’t keep my baby because i’m pro life 🙄 i kept him because i chose to",26-11-2022,27,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/213c531f6d1456752f1f3592512a4712~c5_100x100.jpg?x-expires=1673694000&x-signature=Z1dign69IMnj5ZApl4%2BX2H4vrhU%3D",No,---,0
19,"aether’s wife","bennetts.bad.luck",https://www.tiktok.com/@bennetts.bad.luck,"i love when people say “i’m pro-life for myself but pro-choice for everyone else” like baby that’s what pro-choice it",15-11-2022,25.7K,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/14a0d2cfce3ab575f38d2d302e5db22c~c5_100x100.jpg?x-expires=1673694000&x-signature=nILJhHBLjDEPz6Fn2N1QXb7lo24%3D",No,---,21
20,"arcadia 🧣❤️","arcadia.rose",https://www.tiktok.com/@arcadia.rose,"i say that when talking about how pro choice i am idk like to make a point like how i know its a CHOICE my choice would be no abortion 1/2",18-11-2022,172,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a60e853eec82ce0977bc51827d8a3337~c5_100x100.jpg?x-expires=1673694000&x-signature=qnc3H8DSWCtLf0TiP5p8PQH7lKo%3D",Yes,"aether’s wife",0
21,"Jewel 💛","jewelofohio",https://www.tiktok.com/@jewelofohio,"I say that to people I think/know are pro life so they can ease into the concept. They usually slowly start agreeing w me & are pro choice but dont k",19-11-2022,40,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/24e434a65a3ac3071e08635e39c35041~c5_100x100.jpg?x-expires=1673694000&x-signature=wfqDLPUj%2BLDwX3yydWmyOqgHcdk%3D",Yes,"aether’s wife",0
22,"daisiesbell","daisiesbell",https://www.tiktok.com/@daisiesbell,"People need to google the definition of choice istg",19-11-2022,33,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c78d404e02bae07be65f75729d9260ab~c5_100x100.jpg?x-expires=1673694000&x-signature=9iRSyqKQQkjQBqDURetlmN4rRKc%3D",Yes,"aether’s wife",0
23,"Peyton","pdubbies",https://www.tiktok.com/@pdubbies,"@violet sounds familiar",20-11-2022,2,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/963d0dd2424bd824c6366646b5ffde7d~c5_100x100.jpg?x-expires=1673694000&x-signature=2U5l31uQJXGgwstM4SJTmMdthM0%3D",Yes,"aether’s wife",0
24,"emily","emilyyy_hunterrr",https://www.tiktok.com/@emilyyy_hunterrr,"@abbiehunterrrr_ uno who",19-11-2022,2,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a0a0e431cb088f4de61501351d4c0bcd~c5_100x100.jpg?x-expires=1673694000&x-signature=s%2FusHYlkV4qB%2BPa9u4uf2M1ogao%3D",Yes,"aether’s wife",0
25,"abbiehunterrrr_","abbiehunterrrr_",https://www.tiktok.com/@abbiehunterrrr_,"HAHAHAHHA",19-11-2022,0,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ec18752eb3c1cfe42ce5fbdf00efcbbf~c5_100x100.jpg?x-expires=1673694000&x-signature=G3meFs3ZxkNjpojN%2FGJTXayOj7g%3D",Yes,"aether’s wife",0
26,"mya","myajobarrera",https://www.tiktok.com/@myajobarrera,"@pressainsbury",31-12-2022,1,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dc1c8fba0f89317ddf1714314f7fe646~c5_100x100.jpg?x-expires=1673694000&x-signature=lkyqMbvbxdZW53ZkryrCuMyzXlY%3D",Yes,"aether’s wife",0
27,"Charlotte","wiggler3000",https://www.tiktok.com/@wiggler3000,"Basically my mom",5-12-2022,1,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6786b16a3f8e74221f0e4249c9c1d265~c5_100x100.jpg?x-expires=1673694000&x-signature=z9UgtJOOaK4VV9%2F1Zsfdx%2BbTVhI%3D",Yes,"aether’s wife",0
28,"nailbugs","nailbugs",https://www.tiktok.com/@nailbugs,"I actually say that to make the point, because I would not have an abortion doesn’t mean anyone else should not.",27-11-2022,1,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/33c58d54c4db61510c90b30a37f1da1e~c5_100x100.jpg?x-expires=1673694000&x-signature=c3V8t6IbgvfxXTykG1hPLnAhUCc%3D",Yes,"aether’s wife",0
29,"Horse Teeth","thoroughbredhorsegamer",https://www.tiktok.com/@thoroughbredhorsegamer,"My sister keeps saying this and I keep trying to explain it to her 🙄",23-11-2022,0,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b2174dea8fc26bd84b1e75425ec5a87~c5_100x100.jpg?x-expires=1673694000&x-signature=lLQbiIuWyp%2Fcxe4RKlW8Vri3q9c%3D",Yes,"aether’s wife",0
30,"Melissa Haworth","melissahaworth9",https://www.tiktok.com/@melissahaworth9,"exactly 😂",19-11-2022,0,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/28a16b9889686cb1eb1dbf5ed9716d12~c5_100x100.jpg?x-expires=1673694000&x-signature=qcie5qnRpCyiIn55GrQsLwoUoZo%3D",Yes,"aether’s wife",0
