Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,juliehoward931,juliehoward931,https://www.tiktok.com/@juliehoward931,AND he’s a crazy talented musician-check out his music under “fightstik” on all streaming services,28/12/2022,12.8K,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/7043117840018178053~c5_100x100.jpg?x-expires=1673694000&x-signature=hvdSo%2FEkttSmY29mj6EQa6zECKw%3D,No,---,3
2,Casey,caseyxtufnell,https://www.tiktok.com/@caseyxtufnell,"Yoooo this is sick, followed and added to my Spotify playlists 👏👏",30/12/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/630c769e958c7e3200cb67b0f6319f51~c5_100x100.jpg?x-expires=1673694000&x-signature=YPOTGs2eIykBvVq6Ik9PqfI7fgk%3D,Yes,juliehoward931,0
3,Nicole Emely Calderon,nicoleemelycalder,https://www.tiktok.com/@nicoleemelycalder,Yes! Just checked it out! Talent for sure. He has a new fan!!!,29/12/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1f7040536a3b3fd3a1ddc5a9aa939ece~c5_100x100.jpg?x-expires=1673694000&x-signature=e2ixG5CFuCeW4ryrrB1zqCqzlWQ%3D,Yes,juliehoward931,0
4,waltersixfour,waltersixfour,https://www.tiktok.com/@waltersixfour,"Nah, he doesnt respect other peoples property or opinion. Probably doesn’t respect himself or you either.",28/12/2022,5,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8895db6386d3132ffda58665c52003ad~c5_100x100.jpg?x-expires=1673694000&x-signature=FhhtKNnVT0t6v7yBfFe6m5YAdM4%3D,Yes,juliehoward931,0
5,maggiegraham85,maggiegraham85,https://www.tiktok.com/@maggiegraham85,Not another day of falling in love with an internet stranger that is also taken 😂,28/12/2022,51.1K,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1647790622369798~c5_100x100.jpg?x-expires=1673694000&x-signature=DOoHpMc4REitW6TXhC1QiyZwgX8%3D,No,---,3
6,Hannah Banana,smollest_dog,https://www.tiktok.com/@smollest_dog,Same,28/12/2022,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/33c06955e7ee635e661aea9ba5eebae4~c5_100x100.jpg?x-expires=1673694000&x-signature=RlZ%2BSWCgSb6VWmLG3en6e5Cz%2BCE%3D,Yes,maggiegraham85,0
7,yulia,yuliajuson,https://www.tiktok.com/@yuliajuson,Lmaoooo literally,28/12/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/af9932e65f5cacf610c70e9a63d1828f~c5_100x100.jpg?x-expires=1673694000&x-signature=jeAorbR4PIU%2BphXHw4q1ABR%2FwXE%3D,Yes,maggiegraham85,0
8,NinaBear,mooonphase_,https://www.tiktok.com/@mooonphase_,"Girl, same 😂",29/12/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2063710dcc8742a10a197e7532e3cdec~c5_100x100.jpg?x-expires=1673694000&x-signature=SdjqBpsff41LgGZi7IMoun9SR9M%3D,Yes,maggiegraham85,0
9,shanimarieib,shanimarieib,https://www.tiktok.com/@shanimarieib,I can hear sza’s “I need a big boy” song with this 🔥🫶🏽,27/12/2022,34K,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2313f4ef46886c6e6aaf03d546e6d083~c5_100x100.jpg?x-expires=1673694000&x-signature=aYAvA7LbLXACRidWdZsBJtVtWZw%3D,No,---,3
10,elizabethalfieri,elizabethalfieri1,https://www.tiktok.com/@elizabethalfieri1,I came here to say this but I knew in my heart it had been said 🥰,28/12/2022,5,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7028035065250594863~c5_100x100.jpg?x-expires=1673694000&x-signature=0x0cvRsED89FpskLemH2WqjjEtM%3D,Yes,shanimarieib,0
