Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Julieta Gerber,julietagerber1,https://www.tiktok.com/@julietagerber1,"todo piola con 2pac y la canción esa pero tenía banda de denuncias por violencia y 4bu50 que el mismo admitió, así que sería como 5-5=0",26/09/2022,818,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1664004082420742~c5_100x100.jpg?x-expires=1673694000&x-signature=%2F7KpU2sdXSOtoZ4MmsStgRjQNmY%3D,No,---,2
2,Evis,evisgt02,https://www.tiktok.com/@evisgt02,eso mismo venía a comentar xd pero se aprecia la intención la verdad,14/10/2022,93,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/28a0219a5a24e1f18c6f6d28a9ad8c8e~c5_100x100.jpg?x-expires=1673694000&x-signature=zmvGypnxqQExgeb7E2rSyfQ8vQs%3D,Yes,Julieta Gerber,0
3,❦ (your mom’s version),p1stach8,https://www.tiktok.com/@p1stach8,tengo entendido que se probó q era mentira esas acusaciones,21/11/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/43ffc3c569775072eb103eda98b853e2~c5_100x100.jpg?x-expires=1673694000&x-signature=zIVAWvO0foFO4JUM0dL6VFZIhg0%3D,Yes,Julieta Gerber,0
4,Tiff N,tiff.nelhams,https://www.tiktok.com/@tiff.nelhams,Amen!,11/09/2022,45,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3c99a4555dd18dc2bd3efe604046c4d9~c5_100x100.jpg?x-expires=1673694000&x-signature=78Zygy5g%2B%2BBauPwAFq%2BLMJ0kXhM%3D,No,---,0
5,Nane,yuhm0m,https://www.tiktok.com/@yuhm0m,Amén 💋,27/08/2022,149,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1a7e77b5cb2ae7ae9b4b31dc7ed658a3~c5_100x100.jpg?x-expires=1673694000&x-signature=y6%2BWH3GyGZoJgCPugOp4%2FQ3gmkI%3D,No,---,0
6,ᴀ́ɴɢᴇʟᴀ,ange.lopezz,https://www.tiktok.com/@ange.lopezz,@sara_la_shadowhunter este Tupac,17/11/2022,2,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/35318854b2a26fcb1b2e720800ba93d5~c5_100x100.jpg?x-expires=1673694000&x-signature=dv60%2FmAnUnOjEOSBCgVI4kqmROM%3D,No,---,1
7,Martínez,sara_la_shadowhunter,https://www.tiktok.com/@sara_la_shadowhunter,bueno pues si no? me cae bien,17/11/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8e09fb4b331b5790e6768cf512319dc9~c5_100x100.jpg?x-expires=1673694000&x-signature=bnwLeYkyLq%2FdaPstcoewVNLjAa4%3D,Yes,ᴀ́ɴɢᴇʟᴀ,0
8,Roseli Silva de Oliv,maikesilvadeoliveira0,https://www.tiktok.com/@maikesilvadeoliveira0,Tupac está marcado no rap,16/11/2022,2,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/be491aa9b12eec2befaa37789bebc357~c5_100x100.jpg?x-expires=1673694000&x-signature=NHsN%2FVIJ35ryGZcrE41hsEQqVso%3D,No,---,0
9,malia,mg_mjb,https://www.tiktok.com/@mg_mjb,@borto001 ve se aprende,08/11/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1ac88c2c67fe69f88b4dce7438c1bbd3~c5_100x100.jpg?x-expires=1673694000&x-signature=dBryEskIvH0l3N%2B%2BQmHHZ%2FvpZ4c%3D,No,---,0
10,Lucas <33,0.sku11s.0,https://www.tiktok.com/@0.sku11s.0,@Ella<3,20/10/2022,2,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/911cba9b056b7012b69f58bd05007f9d~c5_100x100.jpg?x-expires=1673694000&x-signature=MZDPpnBUwaMjhMIN2wyqSwZaig8%3D,No,---,1
11,Ella<3,prettyyybae_,https://www.tiktok.com/@prettyyybae_,Slayed,20/10/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/65d33ef4939c5e312d7d20ba5b198a0a~c5_100x100.jpg?x-expires=1673694000&x-signature=CpE%2FpdacEOE6IkwzLkXdhwRJicw%3D,Yes,Lucas <33,0
