Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,DaniB @IngenieraCristiana 🇨🇴,ingenieracristiana,https://www.tiktok.com/@ingenieracristiana,AMEN,04/01/2023,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/674ab59dce41067c1a64219df0d3f8c1~c5_100x100.jpg?x-expires=1673694000&x-signature=%2BdMF5dRQKQ2vGRlRHLlnB87GgDg%3D,No,---,0
2,Yanira Aguiluz,yaniraaguiluzz,https://www.tiktok.com/@yaniraaguiluzz,Amén 🙏🏻,16/12/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1eaa95738e4334b59b16ac88936fc773~c5_100x100.jpg?x-expires=1673694000&x-signature=vmca%2BxCT1YBIUTepgotpi94IfLs%3D,No,---,0
3,Thirsty Souls,thirstysoulsmusic,https://www.tiktok.com/@thirstysoulsmusic,I'm an adoptive mama and I'm so glad my 3 kids' birth moms chose life,23/11/2022,485,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/836168537190119ae13a48f0a3d6f016~c5_100x100.jpg?x-expires=1673694000&x-signature=9ysOEfkZKR%2BaNvDu7PMxiAVwSJ0%3D,No,---,22
4,Julie,tyandjulied,https://www.tiktok.com/@tyandjulied,Same here!,23/11/2022,8,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1692906520035333~c5_100x100.jpg?x-expires=1673694000&x-signature=XbcOumDZgtNcrJwlHqc2GExbayY%3D,Yes,Thirsty Souls,0
5,lanezdoster,lanezdoster,https://www.tiktok.com/@lanezdoster,yes that is the answer!!!,26/11/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fa62755a5267db68d504cd6a1337b853~c5_100x100.jpg?x-expires=1673694000&x-signature=hl9jJOFV%2BihzSk%2FPVi3LS5KaV8o%3D,Yes,Thirsty Souls,0
6,Mark Bukovsky,user115644230,https://www.tiktok.com/@user115644230,god bless,28/11/2022,2,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/6891973398608478213~c5_100x100.jpg?x-expires=1673694000&x-signature=pmtK%2FttsSgqBm3IGWSPB8t6Yp2U%3D,Yes,Thirsty Souls,0
7,Angry Canadian,anotherangrycanadian,https://www.tiktok.com/@anotherangrycanadian,This persons comment doesn’t mention God or amen or anything about any kind of religion,23/11/2022,4,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a97ff32c846305db494c66ddcaaf36fa~c5_100x100.jpg?x-expires=1673694000&x-signature=wngMK4AwnFW5weHB%2Bql2Oqn0vcE%3D,Yes,Thirsty Souls,0
8,Fatbadger2000,fatbadger2000,https://www.tiktok.com/@fatbadger2000,He’s probably talking about the video where he said humanity is a gift from God.,24/11/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e8cb3eddcd7bc5d08447bf46df4acd15~c5_100x100.jpg?x-expires=1673694000&x-signature=rqO3RFfJkvFKQTlJC3%2BAUoM0wc8%3D,Yes,Thirsty Souls,0
9,Fatbadger2000,fatbadger2000,https://www.tiktok.com/@fatbadger2000,Huh is right. What?,24/11/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e8cb3eddcd7bc5d08447bf46df4acd15~c5_100x100.jpg?x-expires=1673694000&x-signature=rqO3RFfJkvFKQTlJC3%2BAUoM0wc8%3D,Yes,Thirsty Souls,0
10,Angry Canadian,anotherangrycanadian,https://www.tiktok.com/@anotherangrycanadian,He’s commented the same thing on a dozen other comments.,24/11/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a97ff32c846305db494c66ddcaaf36fa~c5_100x100.jpg?x-expires=1673694000&x-signature=wngMK4AwnFW5weHB%2Bql2Oqn0vcE%3D,Yes,Thirsty Souls,0
