Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Nadine Thornhill,nadinathornhill,https://www.tiktok.com/@nadinathornhill,I grew up in some of the worst environments ever and now I have a beautiful family of my own and they’re living the complete opposite of how I did.,27/10/2022,451,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1149bf45df193aec985fe932f7501617~c5_100x100.jpg?x-expires=1673701200&x-signature=TkJihHHt1JBUyaXzuJhu%2F%2FyxkHE%3D,No,---,11
2,Tik Toker,user_unknownperson,https://www.tiktok.com/@user_unknownperson,And they started at young ages too. 16 and 17. And now they are 40 and 41 with a granddaughter and another grand baby on the way!,27/10/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1c7b1693b389662d60984925798f550c~c5_100x100.jpg?x-expires=1673701200&x-signature=hJEbE17hToK6OAtsO5Nd3dVS1Ck%3D,Yes,Nadine Thornhill,0
3,Tik Toker,user_unknownperson,https://www.tiktok.com/@user_unknownperson,Same with my parents! They tried their hardest to make sure me and my 4 brothers had a good life unlike what they had growing up!,27/10/2022,3,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1c7b1693b389662d60984925798f550c~c5_100x100.jpg?x-expires=1673701200&x-signature=hJEbE17hToK6OAtsO5Nd3dVS1Ck%3D,Yes,Nadine Thornhill,0
4,Lauren Jill Bridges,laurenbridges7,https://www.tiktok.com/@laurenbridges7,You go mama 🥰,28/10/2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fbac9a8a993f49256b8218a370364fda~c5_100x100.jpg?x-expires=1673701200&x-signature=yv8dRRvT4jdjZzMBttjni%2BT1HfM%3D,Yes,Nadine Thornhill,0
5,Nadine Thornhill,nadinathornhill,https://www.tiktok.com/@nadinathornhill,Thank you love ❤️,29/10/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1149bf45df193aec985fe932f7501617~c5_100x100.jpg?x-expires=1673701200&x-signature=TkJihHHt1JBUyaXzuJhu%2F%2FyxkHE%3D,Yes,Nadine Thornhill,0
6,carrotschmarrot,carrotschmarrot,https://www.tiktok.com/@carrotschmarrot,that's great for you. doesn't mean woman shouldn't have a choice.,11/12/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0e8b70bce18e3eeadfdc9ab0c8390a58~c5_100x100.jpg?x-expires=1673701200&x-signature=E7h3ukd3t0b3OSEqEXoyLtJiSwU%3D,Yes,Nadine Thornhill,0
7,Nadine Thornhill,nadinathornhill,https://www.tiktok.com/@nadinathornhill,Breaking the cycle!,27/10/2022,2,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1149bf45df193aec985fe932f7501617~c5_100x100.jpg?x-expires=1673701200&x-signature=TkJihHHt1JBUyaXzuJhu%2F%2FyxkHE%3D,Yes,Nadine Thornhill,0
8,Nadine Thornhill,nadinathornhill,https://www.tiktok.com/@nadinathornhill,So punish an innocent baby?,11/12/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1149bf45df193aec985fe932f7501617~c5_100x100.jpg?x-expires=1673701200&x-signature=TkJihHHt1JBUyaXzuJhu%2F%2FyxkHE%3D,Yes,Nadine Thornhill,0
9,carrotschmarrot,carrotschmarrot,https://www.tiktok.com/@carrotschmarrot,not a baby.,11/12/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0e8b70bce18e3eeadfdc9ab0c8390a58~c5_100x100.jpg?x-expires=1673701200&x-signature=E7h3ukd3t0b3OSEqEXoyLtJiSwU%3D,Yes,Nadine Thornhill,0
10,Nadine Thornhill,nadinathornhill,https://www.tiktok.com/@nadinathornhill,Women shouldn’t have a choice for what?,11/12/2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1149bf45df193aec985fe932f7501617~c5_100x100.jpg?x-expires=1673701200&x-signature=TkJihHHt1JBUyaXzuJhu%2F%2FyxkHE%3D,Yes,Nadine Thornhill,0
