Now,Fri Jan 13 2023 13:40:21 GMT+0100 (Central European Standard Time),,,,,,,,,
Post URL,https://www.tiktok.com/@createdequalorg/video/7164472148369673518,,,,,,,,,
Publisher Nickname,Created Equal,,,,,,,,,
Publisher @,createdequalorg,,,,,,,,,
Publisher URL,https://www.tiktok.com/@createdequalorg,,,,,,,,,
Publish Time,10/11/2022,,,,,,,,,
Post Likes,55.2K,,,,,,,,,
Post Shares,N/A,,,,,,,,,
Description,So we’re still supposed to believe showing abortion victims doesn’t change peoples minds? Got it! 🙄 #abortion #abortionvictims #prolife #antiabortion,,,,,,,,,
Number of 1st level comments,1230,,,,,,,,,
Number of 2nd level comments,79,,,,,,,,,
Total Comments **,1309,,,,,,,,,
Total Comments **,1536,,,,,,,,,
Difference ,227,,,,,,,,,
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,KimPatriot1776,kimpatriot1776,https://www.tiktok.com/@kimpatriot1776,Keep EDUCATING them!!!,10/11/2022,2507,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/cfa02e22cc6c181dfe3d7e9fa1db12af~c5_100x100.jpg?x-expires=1673697600&x-signature=hAY4FnxCXVYcDWD4ykqqrsreJ38%3D,No,---,14
2,Created Equal · Creator,createdequalorg,https://www.tiktok.com/@createdequalorg,We will!!,10/11/2022,363,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/047cdf36178e1921615c1bf42830afac~c5_100x100.jpeg?x-expires=1673784000&x-signature=MXFkiTd7zCalJG%2FDCkPxH6z%2BOxY%3D,Yes,KimPatriot1776,0
3,Yo it don’t matter,skyhighnocap,https://www.tiktok.com/@skyhighnocap,"Idk I think it’s more important for ppl to see that at whatever stage it’s still a stage of human life, not just a “baby” it’s a human life",11/11/2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6003a168f124e2e0b75fd9ecb876e848~c5_100x100.jpg?x-expires=1673697600&x-signature=yUUBdIPjUvCrz%2FXWjSCbfFvEbd8%3D,Yes,KimPatriot1776,0
