Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Krish,krish.p.100,https://www.tiktok.com/@krish.p.100,SO ALL LIVES MATTER,27-7-2020,3015,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/54a3b288c75b33fe31d1eedaeccfe9af~c5_100x100.jpg?x-expires=1677060000&x-signature=2F95i%2BT2nw1FY5qorFYuoXbXEXY%3D,No,---,93
2,Krish,krish.p.100,https://www.tiktok.com/@krish.p.100,no they aren't 🥴🥴🤯,27-7-2020,8,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/54a3b288c75b33fe31d1eedaeccfe9af~c5_100x100.jpg?x-expires=1677060000&x-signature=2F95i%2BT2nw1FY5qorFYuoXbXEXY%3D,Yes,Krish,0
3,Hamster,guy_in_the_comments,https://www.tiktok.com/@guy_in_the_comments,"Exactly, that’s what BLM is about. Why does no one get that?",27-7-2020,7,https://p77-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/4a62802070ff11c7d5be1909348038eb.jpg?x-expires=1677060000&x-signature=YEWz9shGO3d6qiMdd16r3l5shv8%3D,Yes,Krish,0
4,Luke Tucker,luketucker_10,https://www.tiktok.com/@luketucker_10,Yea they r,27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/71470a1cc6192a4b1180be5e6592dde5~c5_100x100.jpg?x-expires=1677060000&x-signature=N%2FDrXsl37v%2BhxZl%2FeM8uUQeJxWY%3D,Yes,Krish,0
5,SadGirlSummer,taylana_arianariah,https://www.tiktok.com/@taylana_arianariah,"Yeah, like it’s not BLACK lives matter, it’s black lives MATTER",27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/374d35334c22ae2bc61cacbac51c9912~c5_100x100.jpg?x-expires=1677060000&x-signature=E%2FQkh8wURzB%2BJaDHhXU05L%2BiwLE%3D,Yes,Krish,0
6,alipaino=🤢,ylipainoamis,https://www.tiktok.com/@ylipainoamis,yes they are,27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/66d0ee49d5674d258799fb425b497ee0~c5_100x100.jpg?x-expires=1677060000&x-signature=ajPHSi0MwFTJgqguEUZ%2FnpHhbbA%3D,Yes,Krish,0
7,Ciarán Regan,ciaranregan0,https://www.tiktok.com/@ciaranregan0,more people/races are as well its not just blacks,27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bef9f9cabb7e37dbc872c7b9371d9a86~c5_100x100.jpg?x-expires=1677060000&x-signature=4JMvALrxIGtYT9UbfMrfjqETb7c%3D,Yes,Krish,0
8,Table,table612,https://www.tiktok.com/@table612,Not only black...,27-7-2020,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/a85da85f3755705f59fb757da7668182.jpg?x-expires=1677060000&x-signature=jmpqg6xTpdyazvQN1pQXV3%2FmzIk%3D,Yes,Krish,0
9,Wildongamer,wildongamer,https://www.tiktok.com/@wildongamer,Yes but that doesn’t mean Alm is bad,27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/02452c8f7ed2aa1130f4256437fda128~c5_100x100.jpg?x-expires=1677060000&x-signature=XhouLXByf929ksUs3AFX%2FXO%2FsCg%3D,Yes,Krish,0
10,Gord_682,phonix_fc,https://www.tiktok.com/@phonix_fc,Lets be honest they pretty much are treated the exact same,27-7-2020,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e5313651c9015f7ff5a3bba5d7f41b6e~c5_100x100.jpg?x-expires=1677060000&x-signature=BFcXqF5AATlmnXyH9g4qtTjf6XM%3D,Yes,Krish,0
