Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,flahtyman14,flahtyman14,https://www.tiktok.com/@flahtyman14,Your acknowledgement is enough for me. Thank you,16-5-2022,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1986d3e7ea02cee625363b5dd713f451~c5_100x100.jpg?x-expires=1677657600&x-signature=DH11zJh8yK0YWC6R%2BTrjDuibeBo%3D,No,---,160
2,Livin Legacie · Creator,livinlegacie,https://www.tiktok.com/@livinlegacie,now its time to have a bbq!!!,16-5-2022,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4341be6921b77ae6baf18f34dcc09bf9~c5_100x100.jpeg?x-expires=1677744000&x-signature=n%2FvLwwvZHfVcROgZYoQSVc11%2BzQ%3D,Yes,flahtyman14,0
3,Mike Green5992,mikegreen5992,https://www.tiktok.com/@mikegreen5992,hell yeah!!!,17-5-2022,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7073665628564881451~c5_100x100.jpg?x-expires=1677657600&x-signature=gzk0aH2sMpsAHL8SgviwtUQKR0M%3D,Yes,flahtyman14,0
4,shortchange,shortchange007,https://www.tiktok.com/@shortchange007,I want in on that!,17-5-2022,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/64da3f1b037b2a96bbaecf90b70b5650~c5_100x100.jpg?x-expires=1677657600&x-signature=Hd9hTYvTCpUZGL8KTakIBrA6Slg%3D,Yes,flahtyman14,0
5,Herewego7051,herewego7051,https://www.tiktok.com/@herewego7051,Say where and when. I'll bring the beer,17-5-2022,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b8e0da2f2fec6241022446ce6ac16185~c5_100x100.jpg?x-expires=1677657600&x-signature=%2Fvl%2FnX7Cw1mbscmyD5hVq5A3W9A%3D,Yes,flahtyman14,0
6,R,jarlrc89,https://www.tiktok.com/@jarlrc89,I'm in!,17-5-2022,,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d8f068929178a2cc33bcbaaa1a842ad3~c5_100x100.jpg?x-expires=1677657600&x-signature=vk9q0h0TFpZsnAnFogR%2BlQvUE%2FA%3D,Yes,flahtyman14,0
7,Trish,itsyou2020,https://www.tiktok.com/@itsyou2020,you can't make it like his mama😂,17-5-2022,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664574807574534~c5_100x100.jpg?x-expires=1677657600&x-signature=YfP%2BCqTX25VNPbJlahFOmWzsrWA%3D,Yes,flahtyman14,0
8,user4154787993189,ae3.14,https://www.tiktok.com/@ae3.14,The truth is always controversial.,18-5-2022,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6d28a036615c9e241eba70c14901f15b~c5_100x100.jpg?x-expires=1677657600&x-signature=C5n%2Bq9xwNJ3Luyk%2Bl4OAzuxnxys%3D,Yes,flahtyman14,0
9,user2112298178590,akumahaku,https://www.tiktok.com/@akumahaku,I'll bring the brisket,18-5-2022,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677657600&x-signature=TEaJpERtECnTeQFmRgo0t1fZm0w%3D,Yes,flahtyman14,0
10,justincider212,justincider212,https://www.tiktok.com/@justincider212,I’m in. What should I bring?,18-5-2022,,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/78f18c3ce0c3adbec624926c1505898a~c5_100x100.jpg?x-expires=1677657600&x-signature=VrD4YNAQBbKggNy50%2FLApLnj9oY%3D,Yes,flahtyman14,0
