Now,Tue Feb 21 2023 10:20:00 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@jordi.koalitic/video/6833811458447510789
Publisher Nickname,@Jordi.koalitic
Publisher @,jordi.koalitic
Publisher URL,https://www.tiktok.com/@jordi.koalitic
Publish Time,2-6-2020
Post Likes,11.6M
Post Shares,N/A
Description,"#blacklivesmatter 1 or 2 ? 👆🏼 #endracism #justice #photomagic #jordikoalitic"
Number of 1st level comments,1316
Number of 2nd level comments,406
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",1722
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),122.8K
Difference,1600
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"Joker1298","fisharethebest0",https://www.tiktok.com/@fisharethebest0,"B-rave✊🏽
L-oving🖤
A-stonishing✊🏾
C-aring🖤
K-nowledgeable✊🏿",2-6-2020,136.7K,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/e2a6af8e943f59be318deb4ff951aaf3~c5_100x100.jpg?x-expires=1677060000&x-signature=9KwFprWAO2xOAAR4r95tX3P%2FlTQ%3D",No,---,3
2,"Shush","user5660765677",https://www.tiktok.com/@user5660765677,"YESS",3-6-2020,496,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1656e59190868b0d0d95691b9fd61752~c5_100x100.jpg?x-expires=1677060000&x-signature=gOJwXSdFJ5UB2RjQpEo%2FBcTOgRo%3D",Yes,"Joker1298",0
3,"Thomad Crook","thomadcrook",https://www.tiktok.com/@thomadcrook,"2",28-6-2020,0,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/5b662ea2a9908c79206e79a51c712762~c5_100x100.jpg?x-expires=1677060000&x-signature=GCHoJEUqPPWNbMW6V6RcF6CYQ88%3D",Yes,"Joker1298",0
4,"Fortnite Clips","fortcrave",https://www.tiktok.com/@fortcrave,"✊🏻✊🏼✊🏽✊🏾✊🏿",2-6-2020,114,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1665702153030662~c5_100x100.jpg?x-expires=1677060000&x-signature=uDsG%2FQSQgpY5aFwDTvtMRuyzDNM%3D",Yes,"Joker1298",0
5,"Hazel","ilyhazel",https://www.tiktok.com/@ilyhazel,"Both their really good and black lives matter 🥺",2-6-2020,37K,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/eabc90d97330f2958e62ee250d7fb44f~c5_100x100.jpg?x-expires=1677060000&x-signature=8YDFsgoGR0FzR3xabuBOML1TXPM%3D",No,---,3
6,"Fooking lazer sights","user7515496252362",https://www.tiktok.com/@user7515496252362,"Wow I feel very offended",2-6-2020,47,"https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/3bb3b374d7a623921a5f90164c9f6d7d~c5_100x100.jpg?x-expires=1677060000&x-signature=IUo5wz2zcH9sqCIRGL4IAVGdvRY%3D",Yes,"Hazel",0
7,"Mercy","mercy.okboomer",https://www.tiktok.com/@mercy.okboomer,"good",3-6-2020,3,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/05f6e27ea759f2ec0071a9156854f1de~c5_100x100.jpg?x-expires=1677060000&x-signature=7DwNYeeozHyno3A8jquT%2Frx9jEI%3D",Yes,"Hazel",0
8,"Amira","amxra2248",https://www.tiktok.com/@amxra2248,"Cuz that’s like saying it’s ur dads funeral and I bring his portrait and I come,DISRUPT ur dads funeral and bringA portrait of mine cause all dads ma-",3-6-2020,23,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/3a9178f1446075bbc78e4f663a4e680d.jpg?x-expires=1677060000&x-signature=Z2LoMLsQ0XtFT1wEdaVhGOrpzmA%3D",Yes,"Hazel",0
9,"celina sharma ","celina.sharma",https://www.tiktok.com/@celina.sharma,"These images are so powerful 🖤",3-6-2020,9668,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/60f4683c595b9e734e3c64a5b7970db0~c5_100x100.jpg?x-expires=1677060000&x-signature=qW8j%2F2YdVsdYCygQBI1KTgWXJjI%3D",No,---,3
10,"@Jordi.koalitic · Creator","jordi.koalitic",https://www.tiktok.com/@jordi.koalitic,"❤️❤️",3-6-2020,2171,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1655607938404357~c5_100x100.jpeg?x-expires=1677146400&x-signature=bp0aD8ht8F1V44APVQ%2FtfyyJhJU%3D",Yes,"celina sharma ",0
