Now,Wed Feb 01 2023 14:22:15 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@complex/video/6833759604237798662
Publisher Nickname,Complex
Publisher @,complex
Publisher URL,https://www.tiktok.com/@complex
Publish Time,2-6-2020
Post Likes,4.4M
Post Shares,N/A
Description,"🖤 #blacklivesmatter @thehighlyeducated"
Number of 1st level comments,1127
Number of 2nd level comments,306
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",1433
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),50.4K
Difference,1383
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"sh@ne","shawnyeeee",https://www.tiktok.com/@shawnyeeee,"To the person reading this: Your life matters. You are so valued. No one can replace you.i love u❤️and I’m thankful you were born.",2-6-2020,100.4K,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/05ad3bacfe41c3124f494f8d20b17f39~c5_100x100.jpg?x-expires=1675346400&x-signature=vAAxcHCdIG0d%2Bv3wNIafbBf3Az0%3D",No,---,3
2,"Beto9","beto24_8",https://www.tiktok.com/@beto24_8,"You too you are a great person for doing that",2-6-2020,967,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/efd60415f496f7dd6b6268715e106d50~c5_100x100.jpg?x-expires=1675346400&x-signature=o3cZHe1%2Bh77BbTeQOOqJsTp53es%3D",Yes,"sh@ne",0
3,"Not_Maudy","maudyishungry",https://www.tiktok.com/@maudyishungry,"NORBETO?",2-6-2020,111,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b01e4db0988b6263328d8a58b25a7499~c5_100x100.jpg?x-expires=1675346400&x-signature=fsdw6oVLC8hED2uU4TMf4Een1ks%3D",Yes,"sh@ne",0
4,"dayshawn.braxton994","dayshawn.braxton",https://www.tiktok.com/@dayshawn.braxton,"black live's matter",3-6-2020,248,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1666812162661382~c5_100x100.jpg?x-expires=1675346400&x-signature=GY2MRgCkHdoXLAZFoGF%2B77f7pZI%3D",Yes,"sh@ne",0
5,"Aaron","beatjst",https://www.tiktok.com/@beatjst,"i feel like 2020 is going to be a documentary",3-6-2020,53.4K,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c3597e5a97a92003ddf1987762211a2b~c5_100x100.jpg?x-expires=1675346400&x-signature=p0r4HHHByklny7YLHTTj5qMDSmg%3D",No,---,3
6,"Limit_Ranks","damn.i.didnt_notice",https://www.tiktok.com/@damn.i.didnt_notice,"They goin start a movie like dont ever try this at home or in another year",3-6-2020,657,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3e87e42d1ba1144cadb18122e3044f96~c5_100x100.jpg?x-expires=1675346400&x-signature=2UkKiMBNGllDb%2BIzaduKnuFiCA8%3D",Yes,"Aaron",0
7,"👨🏾‍🦲","i_dont_lik3_you",https://www.tiktok.com/@i_dont_lik3_you,"Lol XD whoever learns abput 2020 is gonna have the best history xd",3-6-2020,175,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fbee29f84a4483315658875a4584373d~c5_100x100.jpg?x-expires=1675346400&x-signature=3piaC7WLmrbq1bo1rU4kYqIOmA8%3D",Yes,"Aaron",0
8,"Harry","harrygriffingreer",https://www.tiktok.com/@harrygriffingreer,"step 1 dont eat bats",3-6-2020,57,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6395906a67a06390b7be0d7925964137~c5_100x100.jpg?x-expires=1675346400&x-signature=dNyZj2qRNO1V8DQXU8xC1uvc%2Fs0%3D",Yes,"Aaron",0
9,".","mark1403",https://www.tiktok.com/@mark1403,"einfach gänsehaut",3-6-2020,30.3K,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/84812d7de0bc0964d107c2b4977ef7de~c5_100x100.jpg?x-expires=1675346400&x-signature=0MTfkBy9%2By%2BbH%2FWFH7Vxp9uqJ8g%3D",No,---,3
10,"Martine 💞","abramartine01",https://www.tiktok.com/@abramartine01,"ich auch 🥺",3-6-2020,102,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e5836728cd73a0872b2a56c58d7e98a4~c5_100x100.jpg?x-expires=1675346400&x-signature=M%2FViaDXpG7de8iDmoBF35quuhi0%3D",Yes,".",0
