Now,Mon Feb 27 2023 16:28:13 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@freeda_en/video/7166668369184214278
Publisher Nickname,Freeda
Publisher @,freeda_en
Publisher URL,https://www.tiktok.com/@freeda_en
Publish Time,16-11-2022
Post Likes,#DonaldTrump
Post Shares,N/A
Description,"Former US President Donald Trump announced that he will run for the presidency of the United States in the 2024 elections #Freeda #DonaldTrump #2024"
Number of 1st level comments,661
Number of 2nd level comments,68
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",729
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),#2024
Difference,NaN
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"dremo","hanorel",https://www.tiktok.com/@hanorel,"this is andrew tates andrew tate",22-12-2022,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9aee93438fd796a1163bb17cc34c442c~c5_100x100.jpg?x-expires=1677600000&x-signature=vU4qoUYSkirZnAw5gAmJZYZQAmw%3D",No,---,22
2,"go away🫶🫶","literallyurdaddyx",https://www.tiktok.com/@literallyurdaddyx,"PFFT",6-1-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c62c21de1b6786ca075e3a30cd489885~c5_100x100.jpg?x-expires=1677600000&x-signature=GBk552aIAZO3YGCHNoc69FLZbMQ%3D",Yes,"dremo",0
3,"inês","222.inespriv.222",https://www.tiktok.com/@222.inespriv.222,"@Bꨄ @Aedyn 2",7-2-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fe1d35137d6edb839d75fcdd959ab1d6~c5_100x100.jpg?x-expires=1677600000&x-signature=FgJcjK0EFukL6hkxoJF6Jvka6yQ%3D",Yes,"dremo",0
4,"Bꨄ","santoosb05",https://www.tiktok.com/@santoosb05,"yess",7-2-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f8d0d3c64cb754683a2106fd257d0e46~c5_100x100.jpg?x-expires=1677600000&x-signature=CW7LtHfLVERas8LkOpb6HSJoAPw%3D",Yes,"dremo",0
5,"𝘴𝘩𝘪𝘢☆","shia.36",https://www.tiktok.com/@shia.36,"@avenger_potato @adna.19m 😭😭",22-1-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2836bad19dfa4b21d11455fba328aefc~c5_100x100.jpg?x-expires=1677600000&x-signature=9KbFAld6P%2BnGXILcYV31NR%2BnVKk%3D",Yes,"dremo",0
6,"@dorcikuty100","t_dorc",https://www.tiktok.com/@t_dorc,"@jakethedog",1-2-2023,,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1654640391471109~c5_100x100.jpg?x-expires=1677600000&x-signature=lm92isGV3I00sAWZaVmT%2FKfLQMQ%3D",Yes,"dremo",0
7,"manar🇾🇪","manxra_2005",https://www.tiktok.com/@manxra_2005,"@alishah 💀",13-1-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ec6a011e89c10016d37627821fa0364d~c5_100x100.jpg?x-expires=1677600000&x-signature=DMyIK80K8trx0%2BTMjqs%2BNwadf7Y%3D",Yes,"dremo",0
8,"OfFiCiAl cAlEb FiNn","caleb..com",https://www.tiktok.com/@caleb..com,"@❤️‍🩹",1-2-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/89f838f349927cedcb873c48609469c5~c5_100x100.jpg?x-expires=1677600000&x-signature=6eRE4xf8UXWLnZcFdvt2eysYFm8%3D",Yes,"dremo",0
9,"رغد • Bestfriends","raghadsacct",https://www.tiktok.com/@raghadsacct,"NOO 💀💀",13-1-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/22a94b499cf2bcb22f2c1e8e9181d94e~c5_100x100.jpg?x-expires=1677600000&x-signature=DnbEnW36Ie%2F2SeIolQiQwGYYQfU%3D",Yes,"dremo",0
10,"Brooke","brooke.vaughn5",https://www.tiktok.com/@brooke.vaughn5,"@itsyndel",12-1-2023,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7f6ac8a0823596bbefe5a10b42a2b016~c5_100x100.jpg?x-expires=1677600000&x-signature=dMnHnXEGFNLNqQ01SuXAAM5%2F354%3D",Yes,"dremo",0
