Now,Tue Feb 28 2023 08:25:21 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@iamsabine/video/7061379874484768046
Publisher Nickname,Sabine
Publisher @,iamsabine
Publisher URL,https://www.tiktok.com/@iamsabine
Publish Time,6-2-2022
Post Likes,#conservative
Post Shares,N/A
Description,"#trump #trump2024 #trumptrain #flutrucksklan #trumpsupporters #trump2022 #leftist #leftists #dem #voteblue #trumpcomedy #conservative #republicans"
Number of 1st level comments,1340
Number of 2nd level comments,378
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",1718
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),#republicans
Difference,NaN
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"Jeffrey Raymond","rayvin925",https://www.tiktok.com/@rayvin925,"It is unfortunate that so many people follow him like a cult leader.",6-2-2022,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/635d35b17f62657e88b86dad24fa7055~c5_100x100.jpg?x-expires=1677657600&x-signature=4fScyFHBnMC5jR%2BoMh9gw8G%2BlfA%3D",No,---,3
2,"Sleep deprived","xxtr_uterus",https://www.tiktok.com/@xxtr_uterus,"my mom has a mug of him, it's so creppy",8-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e89a4dc21ce00875df2e3559a26cd117~c5_100x100.jpg?x-expires=1677657600&x-signature=0eSxyCGYBJ1pC3PUbAIeIxlLw%2Fo%3D",Yes,"Jeffrey Raymond",0
3,"Mcfly","mcfly182111",https://www.tiktok.com/@mcfly182111,"throwing the religion card is definitely wrong there. That's something they will take with God if the idolize him. that's not your call to judge.",8-2-2022,,"https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/dd73129f125734867502b9067769eb1c~c5_100x100.jpg?x-expires=1677657600&x-signature=LnGH0KttIlx6IzHOzSdKgasHNss%3D",Yes,"Jeffrey Raymond",0
4,"Eliza","elizabethanna113",https://www.tiktok.com/@elizabethanna113,"You cannot claim to be a Christian and support what Trump did, he is literally everything Jesus said not to be",8-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f80292a196209530b5c21635da768e84~c5_100x100.jpg?x-expires=1677657600&x-signature=LxrECE2uTfbEjlA87y7YlrIiI7U%3D",Yes,"Jeffrey Raymond",0
5,"THE HBIC","chillouttay",https://www.tiktok.com/@chillouttay,"when are we gonna make one ab biden’s racism next?? 👀",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0ec71b4f992a52d74de479dd4a1c004d~c5_100x100.jpg?x-expires=1677657600&x-signature=2TrsU2L0H57IPi8b5ZWwPY4tcuQ%3D",No,---,3
6,"I’m still","tgcab",https://www.tiktok.com/@tgcab,"What are some examples of this quote on quote ""racism""",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/82163a8abd55a70db9d7ac881d2138d9~c5_100x100.jpg?x-expires=1677657600&x-signature=9gDh1CG55pdYESzMOQ1ufPZEMjY%3D",Yes,"THE HBIC",0
7,"I’m still","tgcab",https://www.tiktok.com/@tgcab,"When did he say this?",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/82163a8abd55a70db9d7ac881d2138d9~c5_100x100.jpg?x-expires=1677657600&x-signature=9gDh1CG55pdYESzMOQ1ufPZEMjY%3D",Yes,"THE HBIC",0
8,"J","fozzy470",https://www.tiktok.com/@fozzy470,"He supported segregation, said you ain’t black if you don’t vote for him",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5049e39ac3c589594327b1e03ef28930~c5_100x100.jpg?x-expires=1677657600&x-signature=KaKazpeOCJmR%2Bi2cL0dybkw8JZU%3D",Yes,"THE HBIC",0
9,"bre","brelynnboyd_",https://www.tiktok.com/@brelynnboyd_,"Unpopular opinion: Trump and Biden are both 🗑 politicians who don’t actually care abt the people.",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/31fa246e60c1b64d317068593f61bf58~c5_100x100.jpg?x-expires=1677657600&x-signature=uL2Ko%2FziqoD4wk3MKCDThrOrIEY%3D",No,---,3
10,"Ash Kuhn","ash_lyn_xxx",https://www.tiktok.com/@ash_lyn_xxx,"That's not an unpopular opinion...",13-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6de50521aa5f3d82f1796dbf016492cb~c5_100x100.jpg?x-expires=1677657600&x-signature=MF0mzBAkc0QNs7Ttw6QpvcHQvq8%3D",Yes,"bre",0
11,"Not telling you","retreathelldosomethinf",https://www.tiktok.com/@retreathelldosomethinf,"@world_of.joseph @hoesluv_alejandra",25-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0d3a94cca8cd3b9a605a17183b72db4a~c5_100x100.jpg?x-expires=1677657600&x-signature=EjIrjBXgKtWty9nv9jQJ7jCyV%2FI%3D",Yes,"bre",0
12,"AMARI","truoursavior",https://www.tiktok.com/@truoursavior,"This isn't even slightly unpopular💀 Biden has like a 30% approval rating no one likes him",19-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1df6bacfedee48f010e648e9d8933e2a~c5_100x100.jpg?x-expires=1677657600&x-signature=fm%2F7F%2FCbpCGJxvDNiBcN1MPM8No%3D",Yes,"bre",0
13,"Oliver!","dr8gonfly",https://www.tiktok.com/@dr8gonfly,"They should do the same skit for Biden too! But use all the real things he has actually done",9-2-2022,,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1652199439466501~c5_100x100.jpg?x-expires=1677657600&x-signature=fcSbqLflx6ihMbPebMRMNECyZ0I%3D",No,---,3
14,"Toriix","toriixsantana",https://www.tiktok.com/@toriixsantana,"We aren’t talking about Biden we are talkin ab trump",10-2-2022,,"https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/59d33a192a8abe5b6e3d24cf72087dea~c5_100x100.jpg?x-expires=1677657600&x-signature=qD1izwAsWOSwLdLSOoCXDpafgFw%3D",Yes,"Oliver!",0
15,"Asiaa🖤","uh.asia1",https://www.tiktok.com/@uh.asia1,"fr",11-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/439216cb8c39ccf0deffe11c4a338942~c5_100x100.jpg?x-expires=1677657600&x-signature=13rKC%2Br50j4iyrR%2BylnOYdxoqrY%3D",Yes,"Oliver!",0
16,"🪷","f4bruary__",https://www.tiktok.com/@f4bruary__,"people didn’t vote for biden bc they liked him , ppl just settle",11-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c18e26b84d16f8fec9416754db349986~c5_100x100.jpg?x-expires=1677657600&x-signature=uMTByetwOFe5zZmDPXLoefNqL%2Bs%3D",Yes,"Oliver!",0
17,"troublesdog","troublesdog",https://www.tiktok.com/@troublesdog,"if I remember right when Trump was president gas was $2. she now it's 5:00 you just keep supporting those Democrats",6-2-2022,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/7031329821305077765~c5_100x100.jpg?x-expires=1677657600&x-signature=Q%2FnMHldFMWOuGgDnLrWDdgQMbXo%3D",No,---,3
18,"Jay Spencer","mrs.patches90",https://www.tiktok.com/@mrs.patches90,"Wow, from two dollars to five o'clock... that is a jump.",6-2-2022,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1e1e6302dc03a91be9f97cd6f7e65dd6~c5_100x100.jpg?x-expires=1677657600&x-signature=JVNSAa6JVu%2BX5Kq%2FvJaKw2oY63w%3D",Yes,"troublesdog",0
19,"LubellaGauna","lubellagaunaa",https://www.tiktok.com/@lubellagaunaa,"😂😂😂",6-2-2022,,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/af5f232e0c96563a04dd0740b1374937.jpg?x-expires=1677657600&x-signature=BcQpmZ4sK5fcJefLmOFMMw6rdHM%3D",Yes,"troublesdog",0
20,"Austin Peterson","ou812_12",https://www.tiktok.com/@ou812_12,"😂",6-2-2022,,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1668636050553861~c5_100x100.jpg?x-expires=1677657600&x-signature=jy7i%2BhBXyX5fA4nwR%2FW%2Bw308WO0%3D",Yes,"troublesdog",0
21,"America is Racist","americaisaracistc",https://www.tiktok.com/@americaisaracistc,"no lies detected.",6-2-2022,,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/7050567386554400774~c5_100x100.jpg?x-expires=1677657600&x-signature=SbVeapgR%2BUSaI9uz6ZO4QZRQDIQ%3D",No,---,3
22,"𖤐.","hearts4.cay",https://www.tiktok.com/@hearts4.cay,"Me when I lie",10-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2292de1362ded577ff40221867a50d26~c5_100x100.jpg?x-expires=1677657600&x-signature=yhnLQDcTb76gSsRhnYbCLvHjybE%3D",Yes,"America is Racist",0
23,"𖤐.","hearts4.cay",https://www.tiktok.com/@hearts4.cay,"But you are 🥰",11-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2292de1362ded577ff40221867a50d26~c5_100x100.jpg?x-expires=1677657600&x-signature=yhnLQDcTb76gSsRhnYbCLvHjybE%3D",Yes,"America is Racist",0
24,"Tik Toker","hihihihihihihihi1142",https://www.tiktok.com/@hihihihihihihihi1142,"3.8💀",12-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f4147bdcc1cb194d6ddd9ad04b44ff9~c5_100x100.jpg?x-expires=1677657600&x-signature=MgbCpyrvSotmEtSWtMQseWU%2FRWg%3D",Yes,"America is Racist",0
25,"Joe Spinelli","joespiniple",https://www.tiktok.com/@joespiniple,"This isn’t even a joke anymore",6-2-2022,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c8e6369c8f11387705f8d6c9e55868d4~c5_100x100.jpg?x-expires=1677657600&x-signature=UKkB6lb1EBj0qahp89GMgwXMzY0%3D",No,---,3
