Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,I DID NOT JUST GET A TRUMP TIK TOK ON MYYYYYY FYP.,31-7-2021,173,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,No,---,20
2,Carla Aparicio920,edxtharo,https://www.tiktok.com/@edxtharo,Samee 😏 no trump supporter on my watch 😂,15-8-2021,3,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1074db42cda1aff464c58383aae726ac~c5_100x100.jpg?x-expires=1675346400&x-signature=i3PUexLPQ60wY9o0RA1KQG%2Bot%2Bw%3D,Yes,rubi rose 💌🍰,0
3,BleedingDoll,bleedingforarazorkiss,https://www.tiktok.com/@bleedingforarazorkiss,Literally like I thought all of them died already,13-8-2021,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a4f6509e29c2a582ae4b811f9b4749f2~c5_100x100.jpg?x-expires=1675346400&x-signature=NcvNYb4Tu6JQLZ4rUEHsLbOUjdA%3D,Yes,rubi rose 💌🍰,0
4,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,@downside_dn @beidouspiss YALL ARE COMING WITH ME,31-7-2021,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,Yes,rubi rose 💌🍰,0
5,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,don't ever called me sweetheart again😃,28-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,Yes,rubi rose 💌🍰,0
6,im bored,hibish065,https://www.tiktok.com/@hibish065,yes ya did everyone should ya know why hes a good as prisident,23-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/624920ccaba54673430af2134599072f~c5_100x100.jpg?x-expires=1675346400&x-signature=%2FRa29jDkwtGe3YiSqkVJ%2FQX03Ts%3D,Yes,rubi rose 💌🍰,0
7,Baguette,needlemouse.mp4,https://www.tiktok.com/@needlemouse.mp4,SAME BRUH,15-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ac9863dab2469575dd4389dacb139930~c5_100x100.jpg?x-expires=1675346400&x-signature=7glw1EDoT9j2NxpdHJ224bkWMzY%3D,Yes,rubi rose 💌🍰,0
8,Kari,kari.sparks,https://www.tiktok.com/@kari.sparks,IK LIKE WHAT IS THIS,12-8-2021,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/594248fe6ad6e4d3f3e22aa2715c5ed0~c5_100x100.jpg?x-expires=1675346400&x-signature=K5GLXrTDLuIwv3jf2hOYuuX6qy4%3D,Yes,rubi rose 💌🍰,0
9,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,HAHDAHAAAA,12-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,Yes,rubi rose 💌🍰,0
10,Jsgilgus17,jsgilgus17,https://www.tiktok.com/@jsgilgus17,Cry about it,8-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3a470208c9c4dacf7bbd9d6055ed9397~c5_100x100.jpg?x-expires=1675346400&x-signature=n7xfXVF95EmXaEieTw88KrpM7sI%3D,Yes,rubi rose 💌🍰,0
11,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,[cry][cry]WAAA[cry]AAAA[cry] WAA[cry]AAAA[cry]AAA[cry][cry],11-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,Yes,rubi rose 💌🍰,0
12,EsuExi,downside_dn,https://www.tiktok.com/@downside_dn,I jope she drops the flag so she has to burn it,2-8-2021,1,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/16c9ae24b2c76223f0e5feeeb4484b10~c5_100x100.jpg?x-expires=1675346400&x-signature=gyXi%2FxCoaiqPo1XMfWjMeT2oAiA%3D,Yes,rubi rose 💌🍰,0
13,Google,yeagerchaplin,https://www.tiktok.com/@yeagerchaplin,I also use pride flags as toilet paper😎,11-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c18d5d2d851874ecce92f01ae99b4965~c5_100x100.jpg?x-expires=1675346400&x-signature=0aYjlQwoM%2Fqgzhzlx%2FRQOIZxR0E%3D,Yes,rubi rose 💌🍰,0
14,Ryan,underpantsgnome1945,https://www.tiktok.com/@underpantsgnome1945,nobody cares,11-8-2021,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/24b80992416a55fd9266f38e4b011e25~c5_100x100.jpg?x-expires=1675346400&x-signature=SKfsg6HZKJcY1Pwk9x%2BSCUAdlQg%3D,Yes,rubi rose 💌🍰,0
15,rubi rose 💌🍰,mrs.roseluvsyou,https://www.tiktok.com/@mrs.roseluvsyou,ok...,11-8-2021,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a975306b0925bc8aedd9123e637e20a~c5_100x100.jpg?x-expires=1675346400&x-signature=xYsAujcVF%2FXjtXgfWOPUe5XS1ZA%3D,Yes,rubi rose 💌🍰,0
