Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Dr. A,dr_a_000,https://www.tiktok.com/@dr_a_000,There were 120 school schooling’s when he was president. Thoughts?,30-5-2022,37,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/38edd4269f0997df56584bdbc9ff9a72~c5_100x100.jpg?x-expires=1675346400&x-signature=MNhS0oYtWdRHFqr6ULs5r75QEFo%3D,No,---,8
2,Why are you here?💀,solider_of_fortune1,https://www.tiktok.com/@solider_of_fortune1,and there’s been 213 since Biden became president,18-7-2022,7,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/6b57752ad98a0ecf115b56e428a810fd~c5_100x100.jpg?x-expires=1675346400&x-signature=CkuuXWKXhlvMGf9W%2FQRRHjZFzmI%3D,Yes,Dr. A,0
3,pablochavez781,pablochavez781,https://www.tiktok.com/@pablochavez781,Pablochavezvalencia1tiktok,2-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/03626599ae3361efc3b33aa1ed212bc3~c5_100x100.jpg?x-expires=1675346400&x-signature=FiKtp2Aq94FZlnNc3Zc6mPWsQHU%3D,Yes,Dr. A,0
4,Butterbarn,reginaldgoescrazy,https://www.tiktok.com/@reginaldgoescrazy,There’s been tons of school shooting with all presidents,12-10-2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/40d141601b06e194153e95c9bcf872f4~c5_100x100.jpg?x-expires=1675346400&x-signature=9BIF4juYLOwC%2FKLKAi28R8%2FFfJY%3D,Yes,Dr. A,0
5,Donald Rob,donaldrob13,https://www.tiktok.com/@donaldrob13,what did trump have to do with it,12-1-2023,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c44ded4b7f649de0191051b9b67c42d7~c5_100x100.jpg?x-expires=1675346400&x-signature=6XCfHYjBj8hpFvfCDQr2xZJ%2B5xw%3D,Yes,Dr. A,0
6,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,👎🏿,14-10-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,Dr. A,0
7,ChristinaSegundo1822,christinasegundo1822,https://www.tiktok.com/@christinasegundo1822,😂😂😂 Might wanna go look up your statistics dear,11-9-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/560989dc99a1806fe72c98079c30159d~c5_100x100.jpg?x-expires=1675346400&x-signature=88aweY3c1H7ZshsPNvBGSZbNSlk%3D,Yes,Dr. A,0
8,Sza man 🥷🏾,bigtonkamazon,https://www.tiktok.com/@bigtonkamazon,See after trump he just caught trumps wave 🌊,29-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88d9209c9049e6fe0363120b939c0481~c5_100x100.jpg?x-expires=1675346400&x-signature=qtztm0dCTjyDbDUMVU7ZC195lSY%3D,Yes,Dr. A,0
9,Dr. A,dr_a_000,https://www.tiktok.com/@dr_a_000,Nothing. That’s the point. NRA owns the ethical and moral virtue in the US. Guns > lives apparently.,12-1-2023,0,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/38edd4269f0997df56584bdbc9ff9a72~c5_100x100.jpg?x-expires=1675346400&x-signature=MNhS0oYtWdRHFqr6ULs5r75QEFo%3D,Yes,Dr. A,0
10,Cynthia Frahm Modlin,cynthiafrahmmodli,https://www.tiktok.com/@cynthiafrahmmodli,Bless your heart!,24-8-2022,5,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1657016896600069~c5_100x100.jpg?x-expires=1675346400&x-signature=W%2FcQBjUWFVofs1Xt%2BY%2BC1piO7SU%3D,No,---,2
11,Donald Roche,dfroc,https://www.tiktok.com/@dfroc,You are an idiot. He has ruined the Republican party and is ruining America. And assholes like you support him - he is a criminal. You are pathetic!!!,10-12-2022,1,https://p77-sign-va-lite.tiktokcdn.com/musically-maliva-obj/1685893108861957~c5_100x100.jpg?x-expires=1675346400&x-signature=MdjIxXvpxX2TCpK%2Fjn%2F9zz2HNQE%3D,Yes,Cynthia Frahm Modlin,0
12,pablochavez781,pablochavez781,https://www.tiktok.com/@pablochavez781,Share pablochavezvalencia1tiktok,2-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/03626599ae3361efc3b33aa1ed212bc3~c5_100x100.jpg?x-expires=1675346400&x-signature=FiKtp2Aq94FZlnNc3Zc6mPWsQHU%3D,Yes,Cynthia Frahm Modlin,0
13,Horror Doll fan🖤🎈🔪🎃,crazyhorrorkidn4omi,https://www.tiktok.com/@crazyhorrorkidn4omi,I'm Also A Trump Supporter I love him for the exact same reason!!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🥰🥰🥰🥰🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,5-7-2022,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ce2bd4de4b5f4d4365baf82ec73b18f9~c5_100x100.jpg?x-expires=1675346400&x-signature=Jn9KWle1EQI6aaTj0Obw%2Bx6ljAU%3D,No,---,9
14,Love peace and harmony,ouchman1,https://www.tiktok.com/@ouchman1,"But he doesn’t love, like or respect you but he does love your money. Cash app me some of that money and I’ll tell you what you want to here too😂😂",15-12-2022,3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=HDTv3qXJwcMMIp%2F4z7LaCZADyUY%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
15,Horror Doll fan🖤🎈🔪🎃,crazyhorrorkidn4omi,https://www.tiktok.com/@crazyhorrorkidn4omi,Trump 2024❤🤍💙,5-7-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ce2bd4de4b5f4d4365baf82ec73b18f9~c5_100x100.jpg?x-expires=1675346400&x-signature=Jn9KWle1EQI6aaTj0Obw%2Bx6ljAU%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
16,Donald Roche,dfroc,https://www.tiktok.com/@dfroc,You are an idiot. He has ruined the Republican party and is ruining America. And assholes like you support him - he is a criminal. You are pathetic!!!,10-12-2022,2,https://p77-sign-va-lite.tiktokcdn.com/musically-maliva-obj/1685893108861957~c5_100x100.jpg?x-expires=1675346400&x-signature=MdjIxXvpxX2TCpK%2Fjn%2F9zz2HNQE%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
17,Richard 1989,richardcannida,https://www.tiktok.com/@richardcannida,😂😂😂😂 How can you love a politician,24-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/484f594a6e6050bb2422097dd4a079a6~c5_100x100.jpg?x-expires=1675346400&x-signature=E8CAGmiVPilgjG4M2JOoz0t5tV8%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
18,user8598136465018,donjuan863,https://www.tiktok.com/@donjuan863,@: If someone takes Trump out that will MAGA,14-10-2022,0,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=kmC6Ux1KzxPH1aOxas2ZQaBg9jM%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
19,Andyconda,andyconda10,https://www.tiktok.com/@andyconda10,tRump’s daddy left him $413million and he went bankrupt 6 times! His disgusting criminal activity kept him above water.,21-12-2022,0,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/23ad3f3248e258f1be204d42837b66ee~c5_100x100.jpg?x-expires=1675346400&x-signature=bels1WSO0lOTKMX%2BWkiQDPmY3Ys%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
20,Trump 2024,dtrump2024allday,https://www.tiktok.com/@dtrump2024allday,where are your sources to back up this odd assumption?,27-12-2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3fbc55d24c11d06e0dbfc34cecb837e2~c5_100x100.jpg?x-expires=1675346400&x-signature=8e4nhbzJCel7zsa%2B7h7I4%2Bb%2FVGQ%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
21,𖤐 sami 𖤐,whotfissamiii,https://www.tiktok.com/@whotfissamiii,bffr,21-1-2023,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5ba5fa0d2974d349be74c6b5ab072cef~c5_100x100.jpg?x-expires=1675346400&x-signature=Vlnvz2Tq0ReohWZfgJ4upHA0rZw%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
22,𖤐 sami 𖤐,whotfissamiii,https://www.tiktok.com/@whotfissamiii,i do,21-1-2023,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5ba5fa0d2974d349be74c6b5ab072cef~c5_100x100.jpg?x-expires=1675346400&x-signature=Vlnvz2Tq0ReohWZfgJ4upHA0rZw%3D,Yes,Horror Doll fan🖤🎈🔪🎃,0
23,TRUMP ❤️,ilovemypresidenttrump,https://www.tiktok.com/@ilovemypresidenttrump,YESS GIRL,27-7-2022,3,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/860660a46bf8c57f8007aa4be2db24c2~c5_100x100.jpg?x-expires=1675346400&x-signature=ZiSzBz3xkSroQisTVOsXBkuAz5I%3D,No,---,3
24,Horror Doll fan🖤🎈🔪🎃,crazyhorrorkidn4omi,https://www.tiktok.com/@crazyhorrorkidn4omi,luv ur dp😍🇺🇲❤🇺🇲❤🇺🇲😍,21-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ce2bd4de4b5f4d4365baf82ec73b18f9~c5_100x100.jpg?x-expires=1675346400&x-signature=Jn9KWle1EQI6aaTj0Obw%2Bx6ljAU%3D,Yes,TRUMP ❤️,0
25,Andyconda,andyconda10,https://www.tiktok.com/@andyconda10,You actually believe he was a billionaire? No billionaire in history needed to work as a game show host (Apprentice). All lies. He’s broke,21-12-2022,0,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/23ad3f3248e258f1be204d42837b66ee~c5_100x100.jpg?x-expires=1675346400&x-signature=bels1WSO0lOTKMX%2BWkiQDPmY3Ys%3D,Yes,TRUMP ❤️,0
26,Donald Roche,dfroc,https://www.tiktok.com/@dfroc,You are an idiot. He has ruined the Republican party and is ruining America. And assholes like you support him - he is a criminal. You are pathetic!!!,10-12-2022,0,https://p77-sign-va-lite.tiktokcdn.com/musically-maliva-obj/1685893108861957~c5_100x100.jpg?x-expires=1675346400&x-signature=MdjIxXvpxX2TCpK%2Fjn%2F9zz2HNQE%3D,Yes,TRUMP ❤️,0
27,Mike Bouchard6816,nufrdty34,https://www.tiktok.com/@nufrdty34,because my parents do and we all get rain washed,13-8-2022,3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/7053423555815407622~c5_100x100.jpg?x-expires=1675346400&x-signature=YU61vl3lCv9J9BR9fGPrIrGHdbI%3D,No,---,1
28,cathy__183,cathy__183,https://www.tiktok.com/@cathy__183,😳😳,8-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b052d579f5b4db17577105293d12350~c5_100x100.jpg?x-expires=1675346400&x-signature=6sEQpZhjUr01dtLkJLQOMUjkfpQ%3D,Yes,Mike Bouchard6816,0
29,💙💙💙💙Frankie💙💙💙💙,frankie00779,https://www.tiktok.com/@frankie00779,So sweet so simple,10-9-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0d85f2ddc5d8ea975a37f162bd6a033b~c5_100x100.jpg?x-expires=1675346400&x-signature=4How6rFqwAKDkamJxDmBNEbE2zw%3D,No,---,0
30,just_be_genuine,just_be_genuine,https://www.tiktok.com/@just_be_genuine,You still here?,15-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/979327971917032d850d6f64d0fe0d5d~c5_100x100.jpg?x-expires=1675346400&x-signature=y4PT3m98SpTQJIVowkmqrr2zOFo%3D,No,---,0
31,lizzie,lizziegreyyy,https://www.tiktok.com/@lizziegreyyy,@isabelxor super trumpie,13-7-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/38f35e4ef75228b85f8856f42910d826~c5_100x100.jpg?x-expires=1675346400&x-signature=6Lqr1az2aIxXH3rHqN4WHDnnggY%3D,No,---,6
32,Donald Roche,dfroc,https://www.tiktok.com/@dfroc,You are an idiot. He has ruined the Republican party and is ruining America. And assholes like you support him - he is a criminal. You are pathetic!!!,10-12-2022,1,https://p77-sign-va-lite.tiktokcdn.com/musically-maliva-obj/1685893108861957~c5_100x100.jpg?x-expires=1675346400&x-signature=MdjIxXvpxX2TCpK%2Fjn%2F9zz2HNQE%3D,Yes,lizzie,0
33,lizzie,lizziegreyyy,https://www.tiktok.com/@lizziegreyyy,@izzy ISABEL HELP HAHAHAHAHAHAHAH,10-12-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/38f35e4ef75228b85f8856f42910d826~c5_100x100.jpg?x-expires=1675346400&x-signature=6Lqr1az2aIxXH3rHqN4WHDnnggY%3D,Yes,lizzie,0
34,izzy,isabelxor,https://www.tiktok.com/@isabelxor,lord,13-7-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f34d07b2f785368faf35dd4be3c6855~c5_100x100.jpg?x-expires=1675346400&x-signature=uUxpEy%2BiAkKZyb%2FvBzuz02kIt%2FA%3D,Yes,lizzie,0
35,lizzie,lizziegreyyy,https://www.tiktok.com/@lizziegreyyy,"hello, i don’t support trump.",10-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/38f35e4ef75228b85f8856f42910d826~c5_100x100.jpg?x-expires=1675346400&x-signature=6Lqr1az2aIxXH3rHqN4WHDnnggY%3D,Yes,lizzie,0
36,izzy,isabelxor,https://www.tiktok.com/@isabelxor,HAHAHAHSHSHSHSHSHHSHSHSHSHAHAHAHSHSHSHA,10-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f34d07b2f785368faf35dd4be3c6855~c5_100x100.jpg?x-expires=1675346400&x-signature=uUxpEy%2BiAkKZyb%2FvBzuz02kIt%2FA%3D,Yes,lizzie,0
37,izzy,isabelxor,https://www.tiktok.com/@isabelxor,hello,10-12-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f34d07b2f785368faf35dd4be3c6855~c5_100x100.jpg?x-expires=1675346400&x-signature=uUxpEy%2BiAkKZyb%2FvBzuz02kIt%2FA%3D,Yes,lizzie,0
38,,lukesalazar987,https://www.tiktok.com/@lukesalazar987,ok cool but are you going to acknowledge that Trump takes immigrants locks them up in cages and gives them little to no food or fresh water,21-12-2021,181,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b4ec942b5cbf6656019b266f02c1fd1e~c5_100x100.jpg?x-expires=1675346400&x-signature=n%2BUzVNKKZOI4M2XRAOauBwh%2FG2E%3D,No,---,19
39,Eric von Werner,ericvonwerner,https://www.tiktok.com/@ericvonwerner,"when we're the ""cages"" built? during Obama. and got worse under Biden.",26-3-2022,21,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7079354478570242091~c5_100x100.jpg?x-expires=1675346400&x-signature=Ec6mAF54pIP5RgbJOuEp7kTqNyE%3D,Yes,,0
40,Jackie,jackie._.077,https://www.tiktok.com/@jackie._.077,You need to get your history right,29-5-2022,4,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a214ab504bba638bd58abc526cfa6c15~c5_100x100.jpg?x-expires=1675346400&x-signature=V63J%2Bn5KOhIlR8tnUZizS65HzUQ%3D,Yes,,0
41,Colonel,colonel_colander,https://www.tiktok.com/@colonel_colander,@no_feelx,2-1-2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b3e95af707e7bb3870ce030bab7567d1~c5_100x100.jpg?x-expires=1675346400&x-signature=m1Ijofg7CCmfSJIRn6PgNSWlZy8%3D,Yes,,0
