Now,Tue Feb 21 2023 11:51:12 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@iamsam713/video/6870289794426031365
Publisher Nickname,Sam
Publisher @,iamsam713
Publisher URL,https://www.tiktok.com/@iamsam713
Publish Time,9-9-2020
Post Likes,#trumptrain
Post Shares,N/A
Description,"Reply to @christianramirez5237 Here’s why I support Trump in 60 seconds #fyp #foryoupage #foryou #xyzbca #trump2020 #trumptrain #latinosfortrump"
Number of 1st level comments,732
Number of 2nd level comments,46
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",778
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),#latinosfortrump
Difference,NaN
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,"jjimenez13","jjimenez28",https://www.tiktok.com/@jjimenez28,"WHAT SHE SAID!🙌🏼 very well said! Trump2020❤️🤍💙",10-9-2020,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/a42537b6e4a30b7a369a368d8a89237d~c5_100x100.jpg?x-expires=1677063600&x-signature=8JkkdOYoc1SsJyo3osGQ2IQqGMk%3D",No,---,41
2,"karla","narcotickarla",https://www.tiktok.com/@narcotickarla,"u don’t deserve that hispanic last name lmaoo",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b720917fadf7a699c3a346995e65783~c5_100x100.jpg?x-expires=1677063600&x-signature=TmpOZEBO0Rc8ynp4dm1iDkx8uPs%3D",Yes,"jjimenez13",0
3,"rogelio 🧌","chonchies._.22",https://www.tiktok.com/@chonchies._.22,"Neither do u💪🇲🇽🇺🇸",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d085ed4c2eaeae2fa5ea136fa56cae86~c5_100x100.jpg?x-expires=1677063600&x-signature=FsjepXUVxnImjy6vGmXNVjOj8UA%3D",Yes,"jjimenez13",0
4,"karla","narcotickarla",https://www.tiktok.com/@narcotickarla,"literally the bad things outweigh the good educate you’re",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b720917fadf7a699c3a346995e65783~c5_100x100.jpg?x-expires=1677063600&x-signature=TmpOZEBO0Rc8ynp4dm1iDkx8uPs%3D",Yes,"jjimenez13",0
5,"karla","narcotickarla",https://www.tiktok.com/@narcotickarla,"yourself",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b720917fadf7a699c3a346995e65783~c5_100x100.jpg?x-expires=1677063600&x-signature=TmpOZEBO0Rc8ynp4dm1iDkx8uPs%3D",Yes,"jjimenez13",0
6,"جبريل","gabriel._.v",https://www.tiktok.com/@gabriel._.v,"...Policy",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1cd83bca09577990b3e1079c568073ee~c5_100x100.jpg?x-expires=1677063600&x-signature=nNcXlIQIOKjlsD4ECdfoAOtT5A4%3D",Yes,"jjimenez13",0
7,"جبريل","gabriel._.v",https://www.tiktok.com/@gabriel._.v,"So why are they being sprayed with chemicals though?",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1cd83bca09577990b3e1079c568073ee~c5_100x100.jpg?x-expires=1677063600&x-signature=nNcXlIQIOKjlsD4ECdfoAOtT5A4%3D",Yes,"jjimenez13",0
8,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"Well people also have illnesses they got before they were detained",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
9,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"But that’s all they said he could fund them",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
10,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"No they actually aren’t and not all detention centers are the same, some are better than others. A few experiences don’t speak for all experiences",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
11,":>","vvvnvvvi",https://www.tiktok.com/@vvvnvvvi,"trump 2020",21-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2e68947f1f1ae933932636fc1f67c751~c5_100x100.jpg?x-expires=1677063600&x-signature=pcNiP1%2BvVS16B1I2PUqUMRPnLTg%3D",Yes,"jjimenez13",0
12,"jjimenez13","jjimenez28",https://www.tiktok.com/@jjimenez28,"I didn’t realize you were a child. Bye.",28-12-2020,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/a42537b6e4a30b7a369a368d8a89237d~c5_100x100.jpg?x-expires=1677063600&x-signature=8JkkdOYoc1SsJyo3osGQ2IQqGMk%3D",Yes,"jjimenez13",0
13,"jjimenez13","jjimenez28",https://www.tiktok.com/@jjimenez28,"Also I said to you “RESEARCH” go find the truth then talk to the adults.",28-12-2020,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/a42537b6e4a30b7a369a368d8a89237d~c5_100x100.jpg?x-expires=1677063600&x-signature=8JkkdOYoc1SsJyo3osGQ2IQqGMk%3D",Yes,"jjimenez13",0
14,"jjimenez13","jjimenez28",https://www.tiktok.com/@jjimenez28,"The way you spelled “educated”🥴 sure. Look it up. The first pres to publicly show support. Educate yourself simpleton.",28-12-2020,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/a42537b6e4a30b7a369a368d8a89237d~c5_100x100.jpg?x-expires=1677063600&x-signature=8JkkdOYoc1SsJyo3osGQ2IQqGMk%3D",Yes,"jjimenez13",0
15,"Lisa","designsbylisarae",https://www.tiktok.com/@designsbylisarae,"No❤️",5-10-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/17cb608b2e5d888f7f91c88bdbc7d2af~c5_100x100.jpg?x-expires=1677063600&x-signature=XC3LGz4t10Im3USYO09zu4CcZu4%3D",Yes,"jjimenez13",0
16,"ezequiellopezk","elizeo1827",https://www.tiktok.com/@elizeo1827,"wow",26-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/be61135e194b595245a72c3c304fa95c~c5_100x100.jpg?x-expires=1677063600&x-signature=Vl83mY%2FyEAmazRGZlqW56yNiLrc%3D",Yes,"jjimenez13",0
17,"lali🤍","xitlalioa",https://www.tiktok.com/@xitlalioa,"No",21-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/de1cb293a012786e1e9b11437b9f5854~c5_100x100.jpg?x-expires=1677063600&x-signature=THm9T81dgJ%2FpfkcSn6FB89xmKOE%3D",Yes,"jjimenez13",0
18,"user2202705522916","mr.bigdaddypimp",https://www.tiktok.com/@mr.bigdaddypimp,"Trump 2020😉",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5a9cce5aa563475462f12d1971a421c1~c5_100x100.jpg?x-expires=1677063600&x-signature=iCyoom8dW4WnhYNdZzxgPAfVwKY%3D",Yes,"jjimenez13",0
19,"jjimenez13","jjimenez28",https://www.tiktok.com/@jjimenez28,"😉 💪🏼",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/a42537b6e4a30b7a369a368d8a89237d~c5_100x100.jpg?x-expires=1677063600&x-signature=8JkkdOYoc1SsJyo3osGQ2IQqGMk%3D",Yes,"jjimenez13",0
20,".","user5373849296",https://www.tiktok.com/@user5373849296,"No",12-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/32db7419bf9a234fdc81977aa07820ee~c5_100x100.jpg?x-expires=1677063600&x-signature=V2wQ15kWnEB8ZFVlD3KmbasV8Ws%3D",Yes,"jjimenez13",0
21,"user5982888028615","eddiecc",https://www.tiktok.com/@eddiecc,"You need to do your research she is spreading lies like the Cheeto ...liar liar pants on fire 🔥",23-9-2020,,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1663711185914885~c5_100x100.jpg?x-expires=1677063600&x-signature=1VPdp5hyv2oc%2BiBV6iZpL5gsQoA%3D",Yes,"jjimenez13",0
22,"rogelio 🧌","chonchies._.22",https://www.tiktok.com/@chonchies._.22,"I don’t support Trump but he’s done a lot for the country. Yes he’s done sum bad things but remember only good things",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d085ed4c2eaeae2fa5ea136fa56cae86~c5_100x100.jpg?x-expires=1677063600&x-signature=FsjepXUVxnImjy6vGmXNVjOj8UA%3D",Yes,"jjimenez13",0
23,"karla","narcotickarla",https://www.tiktok.com/@narcotickarla,"i do because i dont support trump black balls",12-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b720917fadf7a699c3a346995e65783~c5_100x100.jpg?x-expires=1677063600&x-signature=TmpOZEBO0Rc8ynp4dm1iDkx8uPs%3D",Yes,"jjimenez13",0
24,"Jayden","daneegajayden",https://www.tiktok.com/@daneegajayden,"you dont deserve to live",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2b5b8932368179dd7ef4599e9d3c3146~c5_100x100.jpg?x-expires=1677063600&x-signature=deZ5QzzyS5CdyexyUhKMqDBUGO4%3D",Yes,"jjimenez13",0
25,"Jayden","daneegajayden",https://www.tiktok.com/@daneegajayden,"if thats the case obama created cages and put kids in them, separated families, bombed the middle east everyday for how many years? Russia gate?",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2b5b8932368179dd7ef4599e9d3c3146~c5_100x100.jpg?x-expires=1677063600&x-signature=deZ5QzzyS5CdyexyUhKMqDBUGO4%3D",Yes,"jjimenez13",0
26,"Jayden","daneegajayden",https://www.tiktok.com/@daneegajayden,"he gave mexico unmarked guns so cartels got to them and thats why they are so powerful, never did one single good thing for this country but trump has",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2b5b8932368179dd7ef4599e9d3c3146~c5_100x100.jpg?x-expires=1677063600&x-signature=deZ5QzzyS5CdyexyUhKMqDBUGO4%3D",Yes,"jjimenez13",0
27,"جبريل","gabriel._.v",https://www.tiktok.com/@gabriel._.v,"Although Obama separates families, it was only for 72 hours top. As opposed to Trump who keeps families in cages for weeks Bc of his zero-tolerance",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1cd83bca09577990b3e1079c568073ee~c5_100x100.jpg?x-expires=1677063600&x-signature=nNcXlIQIOKjlsD4ECdfoAOtT5A4%3D",Yes,"jjimenez13",0
28,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"Do you know of anything that Trump has done that’s hurt the Hispanic community?",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
29,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"And after 72 hours he deported them and also just dumped some in the street. Families also wait in detention centers because they have trial",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
30,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"Oh also zero tolerance is just charging adults crossing with a crime for crossing which is okay because they did commit a crime",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
31,"karla","narcotickarla",https://www.tiktok.com/@narcotickarla,"has kids in cages, separates families, gives kids tim foils as blankets in ice facilities, calls mexicans rapists and criminals ummm",13-9-2020,,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b720917fadf7a699c3a346995e65783~c5_100x100.jpg?x-expires=1677063600&x-signature=TmpOZEBO0Rc8ynp4dm1iDkx8uPs%3D",Yes,"jjimenez13",0
32,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"They’re not, it’s the surfaces they touch that are being sprayed with disinfectant",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
33,"Matthew","m.attaaron",https://www.tiktok.com/@m.attaaron,"Cages Obama built, isn’t separating families he signed a bill in 2018 to stop family separation which was started in 1997, those aren’t just foil",13-9-2020,,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6d48a85f6259a678de5507e26cc89d9~c5_100x100.jpg?x-expires=1677063600&x-signature=J%2FI8da1hsanxxnowM2QC4NHMxGI%3D",Yes,"jjimenez13",0
